CoE Name,State,City,Staff,Contacts,Address,Other,Head Doctors/Staff
Assam Medical College & Hospital,Assam,Dibrugarh,https://amch-dibrugarh.assam.gov.in/whos-who,,"Assam Medical College 1, Dibrugarh, Assam 786002, India",Website Doesn't Work,
All India Institute of Medical Sciences,Bihar,Patna,https://www.aiims.edu/index.php/en/2014-12-19-11-51-43/staff,"Hospital: ""+(91)-612-2451070""
Administration: ""(0612)-2451006""
Email: admin[at]aiimspatna[dot]org","Phulwarisharif, Patna, Bihar-801507, India",,
All India Institute of Medical Sciences,Delhi,New Delhi,https://www.aiims.edu/index.php/en/2014-12-19-11-51-43/staff,,"Ansari Nagar East, New Delhi, Delhi 110029, India",,
Maulana Azad Medical College,Delhi,New Delhi,https://mamc.delhi.gov.in/mamc-dept-regular-faculty-list,,"2, Bahadur Shah Zafar Marg, near दिल्ली दरवाजा, दिल्ली, Maulana Azad Medical College Campus, Balmiki Basti, New Delhi, Delhi, 110002, India",,
Center for Human Genetics (CHG) with Indira Gandhi Hospital,Karnataka,Bengaluru,https://rarediseases.mohfw.gov.in/hospital_detail/12,,"RMV4+JW8, GN Ramachandran Rd, Electronic City Phase I, Electronic City, Doddathoguru, Karnataka 560100, India",No Website Found,
Government Medical College,Kerala,Thiruvananthapuram,https://www.tmc.kerala.gov.in/,,"GWFH+975, Medical College Ulloor Rd, Ulloor, Thiruvananthapuram, Kerala 695011, India",,
All India Institute of Medical Sciences,Madhya Pradesh,Bhopal,https://www.aiimsbhopal.edu.in/,"""(+91)-0755-298260""","Saket Nagar, Pipalia Pende Khan, Bhopal, Madhya Pradesh 462020, India",Website Doesn't Work,
King Edward Medical Hospital,Maharashtra,Mumbai,,https://www.kem.edu/contact-us,"Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012",,
Regional Institute of Medical Sciences (RIMS),Manipur,Imphal,,,"Lamphel Rd, Lamphelpat, Imphal, Manipur 795004, India",,
Post Graduate Institute of Medical Education and Research,Punjab,Chandigarh,,,"Madhya Marg, Sector 12, Chandigarh, 160012, India",,
All India Institute of Medical Sciences,Rajasthan,Jodhpur,,,"Marudhar Industrial Area, 2nd Phase, M.I.A. 1st Phase, Basni, Basni, Jodhpur, Rajasthan 342005, India",Website Doesn't Work,
Institute of Child Health and Hospital for Children Egmore,Tamil Nadu,Chennai,,,"Bhanumati, Rina Mandal Rd, Egmore, Chennai, Tamil Nadu 600008, India",,
Centre for DNA Fingerprinting & Diagnostics,Telangana,Hyderbad,,,"9HV5+73M, Inner Ring Rd, Opposite Metro Rail Pillar No. NUP-9, Survey Colony, CDFD, Uppal, Hyderabad, Telangana 500039, India",,
Sanjay Gandhi Post Graduate Institute of Medical Sciences,Uttar Pradesh,Lucknow,,,"New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014, India",,
Institute of Post-Graduate Medical Education and Research,West Bengal,Kolkata,,,"244, AJC Bose Rd, Bhowanipore, Kolkata, West Bengal 700020, India","Address to the General hospital, emergency room has different address",
